COMPANYNAME,POLICYCODE,LINEOFBUSINESS,INCEPTIONDATE,EXPIRYDATE,COMPANYSHAREOFRISK,LATITUDE,LONGITUDE,POSTALCODE,PROVINCE,COUNTRY,BUILDINGSVALUE,APPURTENANTVALUE,CONTENTSVALUE,TIMEELEMENTVALUE,BUILDINGSLIMIT,APPURTENANTLIMIT,CONTENTSLIMIT,TIMEELEMENTLIMIT,BUILDINGSDEDUCTIBLE,APPURTENANTDEDUCTIBLE,CONTENTSDEDUCTIBLE,TIMEELEMENTDEDUCTIBLE,EARTHQUAKEDEDUCTIBLE,EARTHQUAKE,OCCUPANCY,NUMBEROFSTORIES,YEARBUILT,LATITUDE_2,LONGITUDE_2,PROVINCE_2,NUMBEROFSTORIES_2,YEARBUILT_2,DZ_FLAG,All Inclusive Water Protection Limit,All Inclusive Water Protection Deductible,Sewer Backup Indicator,Sewer Backup Limit,Sewer Backup Deductible,Flood Indicator,Flood Limit,Flood Deductible,Surface Water Indicator,Surface Water Limit,Surface Water Deductible,Ground Water Indicator,Ground Water Limit,Ground Water Deductible,Sewer and Water Service Line Indicator,Sewer and Water Service Line Limit,Sewer and Water Service Line Deductible
Company ABC,8U2KIG0Q5ASWM,Residential,01/07/2023,01/07/2024,1,44.08298,-76.96252,K0H1G0,ON,CA,360000,0,0,0,360000,0,0,0,500,0,0,0,,N,30,0,1990,44.08298,-76.96252,ON,0,1990,1,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,87900W1Y9C2AH,Residential,01/07/2023,01/07/2024,1,44.08298,-76.96252,K0H1G0,ON,CA,0,0,20000,0,0,0,20000,0,0,0,500,0,,N,30,,,44.08298,-76.96252,ON,0,1990,0,-,-,N,-,-,Y,-,-,N,-,-,N,-,-,N,-,-
Company ABC,MNBCEU9IHC8W,Residential,01/04/2023,01/04/2024,1,44.15829,-76.74409,K0H2S0,ON,CA,420000,42000,315000,84000,420000,42000,315000,84000,1000,1000,1000,1000,,N,30,1,2001,44.15829,-76.74409,ON,1,2001,1,-,-,N,-,-,Y,-,-,N,-,-,N,-,-,N,-,-
Company ABC,X1DNX2RS,Residential,01/04/2023,01/04/2024,1,44.15829,-76.74409,K0H2S0,ON,CA,0,0,6363,0,0,0,6363,0,0,0,1000,0,,Y,30,,,44.15829,-76.74409,ON,1,2001,0,-,-,N,-,-,Y,-,-,Y,-,-,N,-,-,N,-,-
Company ABC,MNBCEU9IHC8W,Residential,01/04/2023,01/04/2024,1,44.15829,-76.74409,K0H2S0,ON,CA,0,0,22500,0,0,0,22500,0,0,0,1000,0,,Y,30,,,44.15829,-76.74409,ON,1,2001,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,MNBCEU9IHC8W,Residential,01/04/2023,01/04/2024,1,44.11679,-76.69516,K0H2S0,ON,CA,400000,0,0,0,400000,0,0,0,1000,0,0,0,,Y,30,2,2000,44.11679,-76.69516,ON,2,2000,1,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,8U2KIG0Q5ASWM,Residential,01/04/2023,01/04/2024,1,44.11679,-76.69516,K0H2S0,ON,CA,30000,0,0,0,30000,0,0,0,1000,0,0,0,,N,30,,2000,44.11679,-76.69516,ON,2,2000,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,8U2KIG0Q5ASWM,Residential,2023-07-20,20/07/2024,1,44.23984,-76.76011,K0H2H0,ON,CA,250000,25000,175000,50000,250000,25000,175000,50000,500,500,500,500,,N,30,0,1880,44.23984,-76.76011,ON,0,1880,1,-,-,Y,-,-,N,-,-,N,-,-,Y,-,-,N,-,-
Company ABC,EUT7K8FKXM6D,Farm,20/07/2023,20/07/2024,1,44.23984,-76.76011,K0H2H0,ON,CA,25000,0,0,0,25000,0,0,0,500,0,0,0,,Y,190,0,,44.23984,-76.76011,ON,0,1880,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,0210004F03,Residential,28/06/2023,28/06/2024,1,44.18741,-76.65426,K0H2S0,ON,CA,500000,50000,350000,100000,500000,50000,350000,100000,-200,2000,2000,2000,,N,30,2,1920,44.18741,-76.65426,ON,2,1920,1,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,EUT7K8FKXM6D,Farm,28/06/2023,28/06/2024,1,44.18741,-76.65426,K0H2S0,ON,CA,0,0,83000,0,0,0,83000,0,0,0,2000,0,,N,190,,,44.18741,-76.65426,ON,2,1920,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,ZV2QHJHCW66,Farm,28/06/2023,28/06/2024,1,44.18741,-76.65426,K0H2S0,ON,CA,0,0,66000,0,0,0,66000,0,0,0,2000,0,,Y,190,,,44.18741,-76.65426,ON,2,1920,0,-,-,Y,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,H3W03QUT,Farm,28/06/2023,28/06/2024,1,44.18741,-76.65426,K0H2S0,ON,CA,0,0,25000,0,0,0,25000,0,0,0,2000,0,,N,190,,,44.18741,-76.65426,ON,2,1920,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,RPNAN8W5H4TJ,Residential,28/06/2023,28/06/2024,1,44.14803,-76.77171,K0H2S0,ON,CA,500000,0,0,0,500000,0,0,0,2000,0,0,0,,N,30,2,1920,44.14803,-76.77171,ON,2,1920,1,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,RPNAN8W5H4TJ,Residential,28/06/2023,28/06/2024,1,44.18741,-76.65426,K0H2S0,ON,CA,100000,0,0,0,100000,0,0,0,2000,0,0,0,,N,34,1,1965,44.18741,-76.65426,ON,1,1965,1,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,X1DNX2RS,Residential,28/06/2023,28/06/2024,1,44.18741,-76.65426,K0H2S0,ON,CA,0,0,10000,0,0,0,10000,0,0,0,2000,0,,N,30,,,44.18741,-76.65426,ON,1,1965,0,-,-,N,-,-,Y,-,-,Y,-,-,N,-,-,N,-,-
Company ABC,H3W03QUT,Residential,23/10/2023,23/10/2024,1,44.18686,-76.63606,K0H2S0,ON,CA,500000,50000,350000,100000,500000,50000,350000,100000,500,500,500,500,,N,30,0,1993,44.18686,-76.63606,ON,0,1993,1,-,-,N,-,-,Y,-,-,N,-,-,N,-,-,N,-,-
Company ABC,PHB7H5H0,Residential,12/09/2023,12/09/2024,1,44.21226,-76.75129,K0H1G0,ON,CA,700000,70000,490000,140000,700000,70000,490000,140000,1000,1000,1000,1000,,N,30,1,1980,44.21226,-76.75129,ON,1,1980,1,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,X1DNX2RS,Residential,25/06/2023,25/06/2024,1,44.12806,-76.71699,K0H2S0,ON,CA,40000,0,0,0,40000,0,0,0,500,0,0,0,,N,34,0,1975,44.12806,-76.71699,ON,0,1975,1,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,PHB7H5H0,Residential,25/06/2023,25/06/2024,1,44.12806,-76.71699,K0H2S0,ON,CA,700,0,0,0,700,0,0,0,10000000,0,0,0,,N,34,0,,44.12806,-76.71699,ON,0,1975,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,PHB7H5H1,Residential,25/06/2023,25/06/2024,1,44.12806,-76.71699,K0H2S0,ON,CA,0,0,15000,0,0,0,15000,0,0,0,500,0,,N,34,0,,44.12806,-76.71699,ON,0,1975,0,-,-,Y,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,PHB7H5H2,Residential,25/06/2023,25/06/2024,1,44.12806,-76.71699,K0H2S0,ON,CA,0,0,6000,0,0,0,6000,0,0,0,500,0,,N,34,0,,44.12806,-76.71699,ON,0,1975,0,-,-,Y,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,PHB7H5H3,Residential,25/06/2023,25/06/2024,1,44.12806,-76.71699,K0H2S0,ON,CA,0,0,1000,0,0,0,1000,0,0,0,500,0,,N,34,,,44.12806,-76.71699,ON,0,1975,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,MNBCEU9IHC8W,Farm,25/06/2023,25/06/2024,1,44.12806,-76.71699,K0H2S0,ON,CA,2000,0,0,0,2000,0,0,0,500,0,0,0,,N,110,,,44.12806,-76.71699,ON,0,1975,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,H3W03QUT,Residential,25/04/2023,25/04/2024,1,44.1651,-76.6434,K0H2S0,ON,CA,720000,0,0,0,720000,0,0,0,5000,0,0,0,,N,30,0,1875,44.1651,-76.6434,ON,0,1875,1,-,-,N,-,-,N,-,-,N,-,-,Y,-,-,N,-,-
Company ABC,H3W03QUT,Residential,25/04/2023,25/04/2024,1,44.1651,-76.6434,K0H2S0,ON,CA,0,0,20000,0,0,0,20000,0,0,0,5000,0,,N,30,0,,44.1651,-76.6434,ON,0,1875,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,8U2KIG0Q5ASWM,Farm,25/04/2023,25/04/2022,1,44.1651,-76.6434,K0H2S0,ON,CA,0,0,23000,0,0,0,23000,0,0,0,5000,0,,N,190,,,44.1651,-76.6434,ON,0,1875,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,8U2KIG0Q5ASWM,Farm,25/04/2023,25/04/2024,1,44.1651,-76.6434,K0H2S0,ON,CA,0,0,2900,0,0,0,2900,0,0,0,5000,0,,N,190,,,44.1651,-76.6434,ON,0,1875,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,8U2KIG0Q5ASWM,Farm,25/04/2023,25/04/2024,1,44.1651,-76.6434,K0H2S0,ON,CA,80000,0,0,0,80000,0,0,0,5000,0,0,0,,N,190,0,,44.1651,-76.6434,ON,0,1875,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,X1DNX2RS,Residential,28/01/2023,28/01/2024,1,44.14989,-76.66384,K0H2S0,ON,CA,700000,70000,490000,140000,700000,70000,490000,140000,1,1000,1000,1000,,N,30,0,1960,44.14989,-76.66384,ON,0,1960,1,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,8U2KIG0Q5ASWM,Residential,28/01/2023,28/01/2024,1,44.14989,-76.66384,K0H2S0,ON,CA,0,0,20000,0,0,0,20000,0,0,0,500,0,,N,30,0,,44.14989,-76.66384,ON,0,1960,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,RPNAN8W5H4TJ,Residential,08/12/2023,08/12/2024,1,44.08392,-77.07401,K0H2S0,ON,CA,400000,40000,300000,80000,400000,40000,300000,80000,5000,5000,5000,5000,,N,30,0,1898,44.08392,-77.07401,ON,1,1898,1,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,X1DNX2RS,Commercial,08/12/2023,08/12/2024,1,44.08392,-77.07401,K0H2S0,ON,CA,80000,0,0,0,80000,0,0,0,5000,0,0,0,,Y,190,0,,44.08392,-77.07401,ON,1,2020,0,-,-,N,-,-,Y,-,-,N,-,-,N,-,-,N,-,-
Company ABC,8U2KIG0Q5ASWM,Commercial,08/12/2023,08/12/2024,1,44.08392,-77.07401,K0H2S0,ON,CA,10000,0,0,0,10000,0,0,0,5000,0,0,0,,Y,190,0,,44.08392,-77.07401,ON,1,2020,0,-,-,Y,-,-,Y,-,-,N,-,-,N,-,-,N,-,-
Company ABC,TNQPXTJGW,Commercial,08/12/2023,08/12/2024,1,44.17009,-76.70101,K0H2S0,ON,CA,20000,0,0,0,20000,0,0,0,5000,0,0,0,,Y,190,0,,44.17009,-76.70101,ON,1,2020,0,-,-,Y,-,-,Y,-,-,N,-,-,N,-,-,N,-,-
Company ABC,TNQPXTJGW,Commercial,08/12/2023,08/12/2024,1,44.17009,-76.70101,K0H2S0,ON,CA,50000,0,0,0,50000,0,0,0,5000,0,0,0,,Y,190,0,,44.17009,-76.70101,ON,1,2020,0,-,-,Y,-,-,Y,-,-,N,-,-,N,-,-,N,-,-
Company ABC,TNQPXTJGW,Commercial,08/12/2023,08/12/2024,1,44.08392,-77.07401,K0H2S0,ON,CA,0,0,10000,0,0,0,10000,0,0,0,5000,0,,Y,190,,,44.08392,-77.07401,ON,1,2020,0,-,-,Y,-,-,Y,-,-,N,-,-,N,-,-,N,-,-
Company ABC,TNQPXTJGW,Residential,08/12/2023,08/12/2024,1,44.08392,-77.07401,KOH2S0,ON,CA,250000,0,0,0,250000,0,0,0,5000,0,0,0,,Y,30,0,1900,44.08392,-77.07401,ON,1,1900,1,-,-,Y,-,-,Y,-,-,N,-,-,N,-,-,N,-,-
Company ABC,TNQPXTJGW,Commercial,08/12/2023,08/12/2024,1,44.08392,-77.07401,K0H2S0,ON,CA,0,0,8000,0,0,0,8000,0,0,0,5000,0,,Y,190,,,44.08392,-77.07401,ON,1,2020,0,-,-,N,-,-,Y,-,-,N,-,-,N,-,-,N,-,-
Company ABC,TNQPXTJGW,Commercial,08/12/2023,08/12/2024,1,44.08392,-77.07401,K0H2S0,ON,CA,0,0,113000,0,0,0,113000,0,0,0,5000,0,,Y,190,,,44.08392,-77.07401,ON,1,2020,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,TNQPXTJGW,Commercial,08/12/2023,08/12/2024,1,44.08392,-77.07401,K0H2S0,ON,CA,0,0,47000,0,0,0,47000,0,0,0,1000,0,,Y,190,,,44.08392,-77.07401,ON,1,2020,0,-,-,N,-,-,N,-,-,N,-,-,Y,-,-,N,-,-
Company ABC,ZV2QHJHCW66,Commercial,08/12/2023,08/12/2024,1,44.08392,-77.07401,K0H2S0,ON,CA,0,0,85600,0,0,0,85600,0,0,0,5000,0,,Y,190,,,44.08392,-77.07401,ON,1,2020,0,-,-,N,-,-,N,-,-,N,-,-,Y,-,-,N,-,-
Company ABC,ZV2QHJHCW67,Commercial,08/12/2023,08/12/2024,1,44.08392,-77.07401,K0H2S0,ON,CA,75000,0,0,0,75000,0,0,0,5000,0,0,0,,Y,190,0,,44.08392,-77.07401,ON,1,2020,0,-,-,N,-,-,N,-,-,N,-,-,Y,-,-,N,-,-
Company ABC,ZV2QHJHCW68,Commercial,08/12/2023,08/12/2024,1,44.08392,-77.07401,K0H2S0,ON,CA,200000,0,0,0,200000,0,0,0,5000,0,0,0,,Y,190,0,,44.08392,-77.07401,ON,1,2020,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,TNQPXTJGW,Commercial,08/12/2023,08/12/2024,1,44.08392,-77.07401,K0H2S0,ON,CA,500000,0,0,0,500000,0,0,0,5000,0,0,0,,Y,130,1,2020,44.08392,-77.07401,ON,1,2020,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,PHB7H5H0,Residential,15/10/2023,15/10/2024,1,44.18686,-76.63606,K0H2S0,ON,CA,475000,47500,356250,95000,475000,47500,356250,95000,5000,5000,5000,5000,,N,30,0,1822,44.18686,-76.63606,ON,0,1822,1,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,H3W03QUT,Residential,05/05/2023,05/05/2024,1,44.17099,-76.69922,K0H2S0,ON,CA,400000,40000,280000,80000,400000,40000,280000,80000,1000,1000,1000,1000,,N,30,0,1840,44.17099,-76.69922,ON,0,1840,1,-,-,N,-,-,Y,-,-,N,-,-,N,-,-,N,-,-
Company ABC,X1DNX2RS,Farm,05/05/2023,05/05/2024,1,44.17099,-76.69922,K0H2S0,ON,CA,0,0,20000,0,0,0,20000,0,0,0,1000,0,,N,190,,,44.17099,-76.69922,ON,0,1840,0,-,-,Y,-,-,Y,-,-,Y,-,-,N,-,-,N,-,-
Company ABC,X1DNX2RS,Farm,05/05/2023,05/05/2024,1,44.17099,-76.69922,K0H2S0,ON,CA,0,0,2000,0,0,0,2000,0,0,0,1000,0,,N,190,,,44.17099,-76.69922,ON,0,1840,0,-,-,N,-,-,Y,-,-,N,-,-,N,-,-,N,-,-
